time,VBUS,3V3,EN,BOOT
0,5,3.3,3.2967033,3.2967033
0.000001,5,3.3,3.2967033,3.2967033
0.000002,5,3.3,3.2967033,3.2967033
0.000004,5,3.3,3.2967033,3.2967033
0.000008,5,3.3,3.2967033,3.2967033
0.000016,5,3.3,3.2967033,3.2967033
0.000032,5,3.3,3.2967033,3.2967033
0.000064,5,3.3,3.2967033,3.2967033
0.000128,5,3.3,3.2967033,3.2967033
0.000228,5,3.3,3.2967033,3.2967033
0.000328,5,3.3,3.2967033,3.2967033
0.000428,5,3.3,3.2967033,3.2967033
0.000528,5,3.3,3.2967033,3.2967033
0.000628,5,3.3,3.2967033,3.2967033
0.000728,5,3.3,3.2967033,3.2967033
0.000828,5,3.3,3.2967033,3.2967033
0.000928,5,3.3,3.2967033,3.2967033
0.001028,5,3.3,3.2967033,3.2967033
0.001128,5,3.3,3.2967033,3.2967033
0.001228,5,3.3,3.2967033,3.2967033
0.001328,5,3.3,3.2967033,3.2967033
0.001428,5,3.3,3.2967033,3.2967033
0.001528,5,3.3,3.2967033,3.2967033
0.001628,5,3.3,3.2967033,3.2967033
0.001728,5,3.3,3.2967033,3.2967033
0.001828,5,3.3,3.2967033,3.2967033
0.001928,5,3.3,3.2967033,3.2967033
0.002028,5,3.3,3.2967033,3.2967033
0.002128,5,3.3,3.2967033,3.2967033
0.002228,5,3.3,3.2967033,3.2967033
0.002328,5,3.3,3.2967033,3.2967033
0.002428,5,3.3,3.2967033,3.2967033
0.002528,5,3.3,3.2967033,3.2967033
0.002628,5,3.3,3.2967033,3.2967033
0.002728,5,3.3,3.2967033,3.2967033
0.002828,5,3.3,3.2967033,3.2967033
0.002928,5,3.3,3.2967033,3.2967033
0.003028,5,3.3,3.2967033,3.2967033
0.003128,5,3.3,3.2967033,3.2967033
0.003228,5,3.3,3.2967033,3.2967033
0.003328,5,3.3,3.2967033,3.2967033
0.003428,5,3.3,3.2967033,3.2967033
0.003528,5,3.3,3.2967033,3.2967033
0.003628,5,3.3,3.2967033,3.2967033
0.003728,5,3.3,3.2967033,3.2967033
0.003828,5,3.3,3.2967033,3.2967033
0.003928,5,3.3,3.2967033,3.2967033
0.004028,5,3.3,3.2967033,3.2967033
0.004128,5,3.3,3.2967033,3.2967033
0.004228,5,3.3,3.2967033,3.2967033
0.004328,5,3.3,3.2967033,3.2967033
0.004428,5,3.3,3.2967033,3.2967033
0.004528,5,3.3,3.2967033,3.2967033
0.004628,5,3.3,3.2967033,3.2967033
0.004728,5,3.3,3.2967033,3.2967033
0.004828,5,3.3,3.2967033,3.2967033
0.004928,5,3.3,3.2967033,3.2967033
0.005028,5,3.3,3.2967033,3.2967033
0.005128,5,3.3,3.2967033,3.2967033
0.005228,5,3.3,3.2967033,3.2967033
0.005328,5,3.3,3.2967033,3.2967033
0.005428,5,3.3,3.2967033,3.2967033
0.005528,5,3.3,3.2967033,3.2967033
0.005628,5,3.3,3.2967033,3.2967033
0.005728,5,3.3,3.2967033,3.2967033
0.005828,5,3.3,3.2967033,3.2967033
0.005928,5,3.3,3.2967033,3.2967033
0.006028,5,3.3,3.2967033,3.2967033
0.006128,5,3.3,3.2967033,3.2967033
0.006228,5,3.3,3.2967033,3.2967033
0.006328,5,3.3,3.2967033,3.2967033
0.006428,5,3.3,3.2967033,3.2967033
0.006528,5,3.3,3.2967033,3.2967033
0.006628,5,3.3,3.2967033,3.2967033
0.006728,5,3.3,3.2967033,3.2967033
0.006828,5,3.3,3.2967033,3.2967033
0.006928,5,3.3,3.2967033,3.2967033
0.007028,5,3.3,3.2967033,3.2967033
0.007128,5,3.3,3.2967033,3.2967033
0.007228,5,3.3,3.2967033,3.2967033
0.007328,5,3.3,3.2967033,3.2967033
0.007428,5,3.3,3.2967033,3.2967033
0.007528,5,3.3,3.2967033,3.2967033
0.007628,5,3.3,3.2967033,3.2967033
0.007728,5,3.3,3.2967033,3.2967033
0.007828,5,3.3,3.2967033,3.2967033
0.007928,5,3.3,3.2967033,3.2967033
0.008028,5,3.3,3.2967033,3.2967033
0.008128,5,3.3,3.2967033,3.2967033
0.008228,5,3.3,3.2967033,3.2967033
0.008328,5,3.3,3.2967033,3.2967033
0.008428,5,3.3,3.2967033,3.2967033
0.008528,5,3.3,3.2967033,3.2967033
0.008628,5,3.3,3.2967033,3.2967033
0.008728,5,3.3,3.2967033,3.2967033
0.008828,5,3.3,3.2967033,3.2967033
0.008928,5,3.3,3.2967033,3.2967033
0.009028,5,3.3,3.2967033,3.2967033
0.009128,5,3.3,3.2967033,3.2967033
0.009228,5,3.3,3.2967033,3.2967033
0.009328,5,3.3,3.2967033,3.2967033
0.009428,5,3.3,3.2967033,3.2967033
0.009528,5,3.3,3.2967033,3.2967033
0.009628,5,3.3,3.2967033,3.2967033
0.009728,5,3.3,3.2967033,3.2967033
0.009828,5,3.3,3.2967033,3.2967033
0.009928,5,3.3,3.2967033,3.2967033
0.010028,5,3.3,3.2967033,3.2967033
0.010128,5,3.3,3.2967033,3.2967033
0.010228,5,3.3,3.2967033,3.2967033
0.010328,5,3.3,3.2967033,3.2967033
0.010428,5,3.3,3.2967033,3.2967033
0.010528,5,3.3,3.2967033,3.2967033
0.010628,5,3.3,3.2967033,3.2967033
0.010728,5,3.3,3.2967033,3.2967033
0.010828,5,3.3,3.2967033,3.2967033
0.010928,5,3.3,3.2967033,3.2967033
0.011028,5,3.3,3.2967033,3.2967033
0.011128,5,3.3,3.2967033,3.2967033
0.011228,5,3.3,3.2967033,3.2967033
0.011328,5,3.3,3.2967033,3.2967033
0.011428,5,3.3,3.2967033,3.2967033
0.011528,5,3.3,3.2967033,3.2967033
0.011628,5,3.3,3.2967033,3.2967033
0.011728,5,3.3,3.2967033,3.2967033
0.011828,5,3.3,3.2967033,3.2967033
0.011928,5,3.3,3.2967033,3.2967033
0.012028,5,3.3,3.2967033,3.2967033
0.012128,5,3.3,3.2967033,3.2967033
0.012228,5,3.3,3.2967033,3.2967033
0.012328,5,3.3,3.2967033,3.2967033
0.012428,5,3.3,3.2967033,3.2967033
0.012528,5,3.3,3.2967033,3.2967033
0.012628,5,3.3,3.2967033,3.2967033
0.012728,5,3.3,3.2967033,3.2967033
0.012828,5,3.3,3.2967033,3.2967033
0.012928,5,3.3,3.2967033,3.2967033
0.013028,5,3.3,3.2967033,3.2967033
0.013128,5,3.3,3.2967033,3.2967033
0.013228,5,3.3,3.2967033,3.2967033
0.013328,5,3.3,3.2967033,3.2967033
0.013428,5,3.3,3.2967033,3.2967033
0.013528,5,3.3,3.2967033,3.2967033
0.013628,5,3.3,3.2967033,3.2967033
0.013728,5,3.3,3.2967033,3.2967033
0.013828,5,3.3,3.2967033,3.2967033
0.013928,5,3.3,3.2967033,3.2967033
0.014028,5,3.3,3.2967033,3.2967033
0.014128,5,3.3,3.2967033,3.2967033
0.014228,5,3.3,3.2967033,3.2967033
0.014328,5,3.3,3.2967033,3.2967033
0.014428,5,3.3,3.2967033,3.2967033
0.014528,5,3.3,3.2967033,3.2967033
0.014628,5,3.3,3.2967033,3.2967033
0.014728,5,3.3,3.2967033,3.2967033
0.014828,5,3.3,3.2967033,3.2967033
0.014928,5,3.3,3.2967033,3.2967033
0.015028,5,3.3,3.2967033,3.2967033
0.015128,5,3.3,3.2967033,3.2967033
0.015228,5,3.3,3.2967033,3.2967033
0.015328,5,3.3,3.2967033,3.2967033
0.015428,5,3.3,3.2967033,3.2967033
0.015528,5,3.3,3.2967033,3.2967033
0.015628,5,3.3,3.2967033,3.2967033
0.015728,5,3.3,3.2967033,3.2967033
0.015828,5,3.3,3.2967033,3.2967033
0.015928,5,3.3,3.2967033,3.2967033
0.016028,5,3.3,3.2967033,3.2967033
0.016128,5,3.3,3.2967033,3.2967033
0.016228,5,3.3,3.2967033,3.2967033
0.016328,5,3.3,3.2967033,3.2967033
0.016428,5,3.3,3.2967033,3.2967033
0.016528,5,3.3,3.2967033,3.2967033
0.016628,5,3.3,3.2967033,3.2967033
0.016728,5,3.3,3.2967033,3.2967033
0.016828,5,3.3,3.2967033,3.2967033
0.016928,5,3.3,3.2967033,3.2967033
0.017028,5,3.3,3.2967033,3.2967033
0.017128,5,3.3,3.2967033,3.2967033
0.017228,5,3.3,3.2967033,3.2967033
0.017328,5,3.3,3.2967033,3.2967033
0.017428,5,3.3,3.2967033,3.2967033
0.017528,5,3.3,3.2967033,3.2967033
0.017628,5,3.3,3.2967033,3.2967033
0.017728,5,3.3,3.2967033,3.2967033
0.017828,5,3.3,3.2967033,3.2967033
0.017928,5,3.3,3.2967033,3.2967033
0.018028,5,3.3,3.2967033,3.2967033
0.018128,5,3.3,3.2967033,3.2967033
0.018228,5,3.3,3.2967033,3.2967033
0.018328,5,3.3,3.2967033,3.2967033
0.018428,5,3.3,3.2967033,3.2967033
0.018528,5,3.3,3.2967033,3.2967033
0.018628,5,3.3,3.2967033,3.2967033
0.018728,5,3.3,3.2967033,3.2967033
0.018828,5,3.3,3.2967033,3.2967033
0.018928,5,3.3,3.2967033,3.2967033
0.019028,5,3.3,3.2967033,3.2967033
0.019128,5,3.3,3.2967033,3.2967033
0.019228,5,3.3,3.2967033,3.2967033
0.019328,5,3.3,3.2967033,3.2967033
0.019428,5,3.3,3.2967033,3.2967033
0.019528,5,3.3,3.2967033,3.2967033
0.019628,5,3.3,3.2967033,3.2967033
0.019728,5,3.3,3.2967033,3.2967033
0.019828,5,3.3,3.2967033,3.2967033
0.019914,5,3.3,3.2967033,3.2967033
0.02,5,3.3,3.2967033,3.2967033
